Hidden Layers,F1-Score,AUC-ROC,PR-AUC,Accuracy,Precision,Recall,Final Train Loss,Final Val Loss
"(32,)",0.9906221639608753,0.9976730289932816,0.9974756406782588,0.990533662934419,0.9814465947365416,0.9999709175512578,0.03478260338306427,0.03498123213648796
"(64,)",0.9897766434514282,0.9976327829778402,0.9974350455073656,0.9896902719208958,0.9815535091231482,0.9981387232805002,0.03478077054023743,0.046107880771160126
"(128,)",0.9897041010555458,0.997642014339969,0.9974436555960007,0.9896175657990403,0.981523324657495,0.9980223934855315,0.035508640110492706,0.04722501337528229
"(256,)",0.9905930823861591,0.9976666335610825,0.9974685514295182,0.9905045804856769,0.9814455355103905,0.9999127526537734,0.03697064518928528,0.03527115285396576
"(32, 32)",0.9905933534046875,0.9976689184595925,0.9974714094778908,0.9905045804856769,0.9814180510361363,0.9999418351025157,0.034478358924388885,0.03490612655878067
"(32, 64)",0.9905217366252772,0.9974669470484814,0.9967015202405755,0.9904318743638214,0.9813054770671005,0.9999127526537734,0.03446900472044945,0.03542589396238327
"(32, 128)",0.9906076233829842,0.9976616154959848,0.9974629995079516,0.990519121710048,0.9814460651385836,0.9999418351025157,0.034287698566913605,0.03511953726410866
"(32, 256)",0.990636434354202,0.9975896760816989,0.9953377132668101,0.9905482041587902,0.981474609653755,0.9999709175512578,0.034907519817352295,0.03500274196267128
"(64, 32)",0.9905782695133546,0.997673700126714,0.9974762063871163,0.9904900392613059,0.9814724942190757,0.9998545877562891,0.03419742360711098,0.036074645817279816
"(64, 64)",0.99063589477627,0.9975891178610745,0.995339307638791,0.9905482041587902,0.9815295897684776,0.9999127526537734,0.034052859991788864,0.03508608788251877
"(64, 128)",0.9905788124117664,0.9974529479747469,0.9972221716216965,0.9904900392613059,0.9814175206234123,0.9999127526537734,0.034020207822322845,0.03520778566598892
"(64, 256)",0.9905637272557014,0.9975553941461559,0.9963489225101915,0.9904754980369347,0.9814719652849149,0.9998255053075469,0.034172121435403824,0.036204785108566284
"(128, 32)",0.990322023158016,0.9976386950417259,0.9974187624615345,0.9902282972226262,0.9809135260049642,0.9999127526537734,0.03548175469040871,0.0360865481197834
"(128, 64)",0.9906218937724188,0.9975050147348044,0.9972858551841778,0.990533662934419,0.9814740808403745,0.9999418351025157,0.03576367348432541,0.035379670560359955
"(128, 128)",0.9906076233829842,0.9975544214890074,0.9973497101197359,0.990519121710048,0.9814460651385836,0.9999418351025157,0.034413617104291916,0.03555431216955185
"(128, 256)",0.9905785409703816,0.9975933138194345,0.9953594876611263,0.9904900392613059,0.9814450058519597,0.9998836702050312,0.03449462354183197,0.035182587802410126
"(256, 32)",0.9903069234203742,0.9976533694778368,0.9974528710169099,0.990213755998255,0.9809678707983793,0.9998255053075469,0.03463500738143921,0.03617291525006294
"(256, 64)",0.9903223019096173,0.9976273026891497,0.997423495661607,0.9902282972226262,0.9808860867828717,0.9999418351025157,0.036367204040288925,0.03636656329035759
"(256, 128)",0.9903365640796693,0.9976609084165271,0.9974609165860993,0.9902428384469972,0.9809140705237932,0.9999418351025157,0.034930694848299026,0.035637374967336655
"(256, 256)",0.9905639991356336,0.9974354126579359,0.9971897010654757,0.9904754980369347,0.9814444761632886,0.9998545877562891,0.035824041813611984,0.0363837406039238
"(32, 32, 32)",0.9905928113520133,0.9975938961450406,0.9953751447920144,0.9905045804856769,0.9814730231230374,0.9998836702050312,0.03459705784916878,0.03516990318894386
"(32, 32, 64)",0.9905933534046875,0.9975087856842799,0.9966053787096817,0.9905045804856769,0.9814180510361363,0.9999418351025157,0.03427809476852417,0.03529990836977959
"(32, 32, 128)",0.9901412510810031,0.9976237423410915,0.9972682984492662,0.990053802530173,0.9815116445206458,0.9989239493965392,0.03409354016184807,0.041495975106954575
"(32, 32, 256)",0.990475092583253,0.9975513897589647,0.9954593623515318,0.9903882506907081,0.9816063064092311,0.9995055983713829,0.03470040485262871,0.03875633701682091
"(32, 64, 32)",0.9905788124117664,0.9976936611658747,0.99749895790002,0.9904900392613059,0.9814175206234123,0.9999127526537734,0.03414572775363922,0.035550132393836975
"(32, 64, 64)",0.9905642709998991,0.9975427686334732,0.9959613519837103,0.9904754980369347,0.9814169901804065,0.9998836702050312,0.03492475301027298,0.04040570557117462
"(32, 64, 128)",0.9726242320268624,0.9964078807304122,0.9940035045369342,0.9728515340991711,0.9808363399775241,0.9645484949832775,0.03500405699014664,0.12690076231956482
"(32, 64, 256)",0.9906073527716953,0.9975933210086395,0.995921108399942,0.990519121710048,0.9814735519968029,0.9999127526537734,0.034532900899648666,0.03657842054963112
"(32, 128, 32)",0.990350826660522,0.9976104380828766,0.9974091593166701,0.9902573796713683,0.980942055861459,0.9999418351025157,0.03462675213813782,0.035612981766462326
"(32, 128, 64)",0.9906076233829842,0.997644975869539,0.9974451118725013,0.990519121710048,0.9814460651385836,0.9999418351025157,0.03490558639168739,0.03504113480448723
"(32, 128, 128)",0.9906076233829842,0.9976651242509246,0.9974677182849123,0.990519121710048,0.9814460651385836,0.9999418351025157,0.0345768965780735,0.035911861807107925
"(32, 128, 256)",0.9905785409703816,0.9975315120300032,0.9957530830993748,0.9904900392613059,0.9814450058519597,0.9998836702050312,0.03535255789756775,0.03727450221776962
"(32, 256, 32)",0.9905790838375108,0.9976570190566162,0.997456827118716,0.9904900392613059,0.9813900385328956,0.9999418351025157,0.03478590026497841,0.035000670701265335
"(32, 256, 64)",0.9906076233829842,0.9976147900892749,0.9969284584878632,0.990519121710048,0.9814460651385836,0.9999418351025157,0.03475471958518028,0.03526005148887634
"(32, 256, 128)",0.9903360073740153,0.9973963016910976,0.9960703323179679,0.9902428384469972,0.9809689568591645,0.9998836702050312,0.03670423850417137,0.03957422822713852
"(32, 256, 256)",0.9904613699893374,0.9976649741234082,0.9974496515385569,0.9903737094663371,0.9815232601307936,0.9995637632688672,0.034689031541347504,0.035976342856884
"(64, 32, 32)",0.9905642709998991,0.9974828377289225,0.9972595876583856,0.9904754980369347,0.9814169901804065,0.9998836702050312,0.034567177295684814,0.03519356623291969
"(64, 32, 64)",0.9903511045825052,0.9976576111087935,0.997458673730366,0.9902573796713683,0.980914615011554,0.9999709175512578,0.03530091047286987,0.035783249884843826
"(64, 32, 128)",0.9903365640796693,0.9976550619012754,0.9974546926386554,0.9902428384469972,0.9809140705237932,0.9999418351025157,0.03951394557952881,0.035837315022945404
"(64, 32, 256)",0.990322023158016,0.9976401760179581,0.9974383875035626,0.9902282972226262,0.9809135260049642,0.9999127526537734,0.03480922058224678,0.03588066250085831
"(64, 64, 32)",0.9905933534046875,0.997426788149289,0.9971976924719695,0.9905045804856769,0.9814180510361363,0.9999418351025157,0.03442925587296486,0.03583858162164688
"(64, 64, 64)",0.9905928113520133,0.9976765508579482,0.9974788803975884,0.9905045804856769,0.9814730231230374,0.9998836702050312,0.034416697919368744,0.03575383126735687
"(64, 64, 128)",0.9906361645730092,0.9975516291172023,0.9952638132476754,0.9905482041587902,0.981502098141646,0.9999418351025157,0.03502226620912552,0.03562123328447342
"(64, 64, 256)",0.990549456881897,0.9975561887647569,0.9952648610932111,0.9904609568125636,0.9814439464443747,0.9998255053075469,0.03464169055223465,0.0372629389166832
"(64, 128, 32)",0.9903653671673603,0.997554148299217,0.9955108861809536,0.9902719208957395,0.9809425995663585,0.9999709175512578,0.03530128672719002,0.03565175086259842
"(64, 128, 64)",0.9906070821448123,0.9975312659054553,0.9973102461257954,0.990519121710048,0.9815010419937766,0.9998836702050312,0.03536391258239746,0.03509408235549927
"(64, 128, 128)",0.9906218937724188,0.9976513459280734,0.9974295719118328,0.990533662934419,0.9814740808403745,0.9999418351025157,0.034521739929914474,0.03605334088206291
"(64, 128, 256)",0.9901555225644647,0.9975734170602244,0.9955427714301496,0.9900683437545441,0.9815396925187175,0.9989239493965392,0.034559931606054306,0.03805018588900566
"(64, 256, 32)",0.9903217443903561,0.9973914620874421,0.9971580682313127,0.9902282972226262,0.9809409683585837,0.9998836702050312,0.03464895486831665,0.0371641181409359
"(64, 256, 64)",0.9903365640796693,0.9976494522068946,0.9974479834200769,0.9902428384469972,0.9809140705237932,0.9999418351025157,0.03513159230351448,0.035608332604169846
"(64, 256, 128)",0.9905930823861591,0.997511021104144,0.9956629348251856,0.9905045804856769,0.9814455355103905,0.9999127526537734,0.035004328936338425,0.035329487174749374
"(64, 256, 256)",0.9904792083771444,0.9975885186196921,0.9973584113237545,0.9903882506907081,0.9811939957764968,0.9999418351025157,0.03611185774207115,0.036951132118701935
"(128, 32, 32)",0.9903365640796693,0.9976516495662615,0.9974508733475218,0.9902428384469972,0.9809140705237932,0.9999418351025157,0.034754350781440735,0.03575381264090538
"(128, 32, 64)",0.9902934992367292,0.9975979517024556,0.9973780474367626,0.990199214773884,0.9808575585541893,0.9999127526537734,0.03479459509253502,0.037679705768823624
"(128, 32, 128)",0.9903362857348599,0.9976824743399828,0.9974844076668823,0.9902428384469972,0.9809415121255349,0.9999127526537734,0.035062387585639954,0.03566023334860802
"(128, 32, 256)",0.9902199432497444,0.9976401447237716,0.997438094898798,0.9901265086520284,0.9809371611209405,0.999680093063836,0.037333905696868896,0.03700036182999611
"(128, 64, 32)",0.9906073527716953,0.9976677483107537,0.9974688903000102,0.990519121710048,0.9814735519968029,0.9999127526537734,0.03418530523777008,0.035415202379226685
"(128, 64, 64)",0.9905930823861591,0.9974613703398648,0.9972347712975048,0.9905045804856769,0.9814455355103905,0.9999127526537734,0.034135159105062485,0.03584573045372963
"(128, 64, 128)",0.9902781178436144,0.9975786008999319,0.9973724518666681,0.9901846735495129,0.9809393368715402,0.9997964228588047,0.03529701009392738,0.03718706592917442
"(128, 64, 256)",0.990636434354202,0.9975751285139116,0.9953034171747046,0.9905482041587902,0.981474609653755,0.9999709175512578,0.03506035730242729,0.035182636231184006
"(128, 128, 32)",0.9903080401503478,0.9974120967974017,0.9971651517642048,0.990213755998255,0.9808581046385576,0.9999418351025157,0.034793660044670105,0.036406952887773514
"(128, 128, 64)",0.9903223019096173,0.9976463925658209,0.9974462982226833,0.9902282972226262,0.9808860867828717,0.9999418351025157,0.03756001219153404,0.0370914526283741
"(128, 128, 128)",0.9905645428484997,0.9976328696711946,0.9974150263288439,0.9904754980369347,0.981389507335731,0.9999127526537734,0.03468973934650421,0.03622268885374069
"(128, 128, 256)",0.9903648121210376,0.9974770267368015,0.995088555609382,0.9902719208957395,0.9809974891577266,0.9999127526537734,0.03590709716081619,0.036309774965047836
"(128, 256, 32)",0.9903513824884793,0.997560940406375,0.9973355962397198,0.9902573796713683,0.9808871772928256,1.0,0.03494243323802948,0.03610536456108093
"(128, 256, 64)",0.990350826660522,0.9976269132033958,0.9974253434111339,0.9902573796713683,0.980942055861459,0.9999418351025157,0.03511269763112068,0.03740854188799858
"(128, 256, 128)",0.9906504357847727,0.9976448375830662,0.9974436537446545,0.9905627453831612,0.981530117042535,0.9999418351025157,0.03468065336346626,0.035921361297369
"(128, 256, 256)",0.9905642709998991,0.997635977945126,0.9974335361653921,0.9904754980369347,0.9814169901804065,0.9998836702050312,0.03471696004271507,0.03580743446946144
"(256, 32, 32)",0.9902778377911248,0.9976381224426913,0.9964146006600618,0.9901846735495129,0.9809667846136286,0.9997673404100625,0.03492753580212593,0.03582502901554108
"(256, 32, 64)",0.9903653671673603,0.9976571899059586,0.9974570484283606,0.9902719208957395,0.9809425995663585,0.9999709175512578,0.034721605479717255,0.03570668771862984
"(256, 32, 128)",0.9903365640796693,0.9976517442946099,0.9974516771375965,0.9902428384469972,0.9809140705237932,0.9999418351025157,0.034697603434324265,0.03564489260315895
"(256, 32, 256)",0.9903365640796693,0.9975828311127395,0.9973793844086287,0.9902428384469972,0.9809140705237932,0.9999418351025157,0.03504324331879616,0.036047305911779404
"(256, 64, 32)",0.9905648146814365,0.997558873298487,0.9954794298609158,0.9904754980369347,0.9813620276287247,0.9999418351025157,0.035354241728782654,0.03479599580168724
"(256, 64, 64)",0.9903894644323733,0.997441784408048,0.9971764153717482,0.9903010033444816,0.9814381175395511,0.9995055983713829,0.03442971780896187,0.03702143579721451
"(256, 64, 128)",0.9903161656627375,0.9976462060693848,0.9974279656291675,0.9902282972226262,0.9814904738781456,0.9993020212301876,0.03464069962501526,0.03631360083818436
"(256, 64, 256)",0.9903511045825052,0.9976253747135233,0.9974046613872871,0.9902573796713683,0.980914615011554,0.9999709175512578,0.036450862884521484,0.035799119621515274
"(256, 128, 32)",0.9903505487225278,0.9976449517645575,0.9974433836900793,0.9902573796713683,0.9809694998430768,0.9999127526537734,0.03467847406864166,0.035890039056539536
"(256, 128, 64)",0.9903337799098203,0.9975801622261026,0.9973645806713667,0.9902428384469972,0.9811886275405344,0.9996510106150938,0.03521858900785446,0.03730598837137222
"(256, 128, 128)",0.9903077609919784,0.9974880845798975,0.9972652770888257,0.990213755998255,0.9808855414812279,0.9999127526537734,0.036041539162397385,0.035776134580373764
"(256, 128, 256)",0.9905639991356336,0.9975986067659004,0.9973755335036705,0.9904754980369347,0.9814444761632886,0.9998545877562891,0.036077599972486496,0.03620575740933418
"(256, 256, 32)",0.9902934992367292,0.9974350586953128,0.9950034009855684,0.990199214773884,0.9808575585541893,0.9999127526537734,0.03698229789733887,0.03842604532837868
"(256, 256, 64)",0.9903362857348599,0.9975487876896451,0.9973351598214129,0.9902428384469972,0.9809415121255349,0.9999127526537734,0.03539836406707764,0.037367455661296844
"(256, 256, 128)",0.9902797978197945,0.9976312787424153,0.9974269175792729,0.9901846735495129,0.9807747161846083,0.9999709175512578,0.03620387241244316,0.03594329580664635
"(256, 256, 256)",0.9902937788018433,0.9976480465058677,0.9974475771077609,0.990199214773884,0.9808301240907146,0.9999418351025157,0.03762957453727722,0.03633621335029602
