,Permutation Importance (F1),SHAP (DeepSHAP),PFI %,SHAP %
originp,0.04801884220837016,0.1206068208782248,9.52591686649163,12.760536632613672
fwd_pkts_payload.avg,0.018042903975006075,0.08707121282982395,3.579328350945531,9.212376156427414
fwd_pkts_payload.min,0.009899634965194304,0.06020455400372022,1.9638769980717428,6.3698090308700275
flow_pkts_payload.min,0.019169103553525968,0.05501398939976698,3.802742391490398,5.820632879053794
fwd_pkts_payload.max,0.008122043555974678,0.043738458306113434,1.6112406743274725,4.6276503717210105
active.avg,0.08832507588126626,0.03856301605356526,17.521816257470007,4.080074206685545
active.min,0.09722816635427234,0.03271160605597949,19.28800002618083,3.460978776734484
fwd_data_pkts_tot,0.03427824493779519,0.03238185484157411,6.800074649649856,3.4260901823711754
bwd_pkts_per_sec,0.004074606012492543,0.03127964857309325,0.8083151603339823,3.309473697803959
bwd_header_size_max,6.030725857675279e-05,0.03126686513137908,0.011963677282248663,3.3081211741647762
flow_pkts_payload.avg,-0.00014309041495430552,0.029454991025823926,0.028386094594527914,3.1164198613429654
responp,0.04593289199152628,0.027320779324014076,9.112108714535992,2.8906143355494045
bwd_header_size_min,0.001966046864361304,0.02356946895711484,0.3900218773343889,2.4937152795212745
bwd_init_window_size,0.0029909943985199083,0.022389605218341102,0.593349666049973,2.3688824189045743
bwd_pkts_payload.avg,0.0005718932787528441,0.019686906716844702,0.1134514615380566,2.0829294107403276
fwd_subflow_bytes,0.0005121102402464439,0.017354268806981436,0.10159177836687493,1.8361298410087972
active.max,0.004599209697867757,0.01639525175594205,0.9123853724614276,1.7346631733528666
down_up_ratio,0.0011092101134578813,0.015092417212113837,0.22004369206614743,1.596819660011773
fwd_pkts_payload.std,-0.000504645686560834,0.013852653742100278,0.1001109696971026,1.465649241459264
flow_FIN_flag_count,0.01455311580667562,0.011939513544524882,2.8870286110032937,1.263233694836608
flow_RST_flag_count,0.0007374810626074035,0.011834315853511032,0.1463005555720266,1.2521034869422802
flow_SYN_flag_count,0.01806876971830329,0.011667437530285618,3.5844595642153156,1.2344472968429065
bwd_subflow_bytes,-1.8850448117224694e-05,0.010860226035572493,0.0037395279311731437,1.1490420786840272
fwd_header_size_min,0.0018793961263607883,0.01013749467720413,0.3728322140969613,1.0725750935927785
bwd_header_size_tot,-0.00038810603449856984,0.009595534094629926,0.07699198168865207,1.015234158668762
fwd_pkts_per_sec,0.0011322435151162047,0.009390661342178579,0.22461302900262714,0.993558052428308
bwd_subflow_pkts,-7.922609116206569e-05,0.00915783826783477,0.015716771237257635,0.9689247245000174
fwd_PSH_flag_count,0.00018450991264595817,0.009083378522963443,0.03660284188615148,0.9610466766817686
flow_pkts_payload.std,-0.00013970088947579118,0.00889846582096379,0.027713684839518145,0.9414823992178547
idle.max,0.003208893109442945,0.008090657238584044,0.6365761352880573,0.8560140075254445
fwd_iat.max,0.0037864914647843806,0.007671322363414611,0.751159362666366,0.8116472130359786
flow_iat.max,0.00038336374426062303,0.0073040484027098495,0.07605121218056131,0.7727886078953106
flow_pkts_payload.max,0.0007556189079372944,0.0064787886108122125,0.1498987182682464,0.6854738297654259
active.tot,0.0016965856515257505,0.0062706169743195934,0.3365665045230874,0.6634486924308027
bwd_pkts_payload.std,-0.0014537635928474346,0.006170629282345833,0.28839577324467286,0.6528697169056132
flow_pkts_per_sec,0.0021243925198495273,0.005768323869254076,0.42143428715063425,0.6103046868030495
flow_iat.min,0.005306472165688136,0.00517336600857062,1.052691201619305,0.5473564926559024
fwd_bulk_packets,0.005332076238037664,0.00481121574982289,1.057770504939174,0.5090399894132961
bwd_bulk_packets,-0.00010170423560318387,0.004542673964536988,0.02017595695293819,0.48062752265913
flow_iat.std,0.0053678762999151974,0.004459712171055984,1.064872475698502,0.47184993448366036
bwd_pkts_payload.tot,0.00018450991264595817,0.004380299238979046,0.03660284188615148,0.4634478257016521
fwd_iat.min,0.001384058471957772,0.004341190728990088,0.2745677599851626,0.4593100367215006
fwd_subflow_pkts,0.00020740324262591425,0.004249056870367845,0.04114439158116284,0.4495620185788099
flow_pkts_payload.tot,0.0,0.003845636730945431,0.0,0.4068790473343265
fwd_header_size_tot,0.00018450991264595817,0.0037541063390501787,0.03660284188615148,0.39719487764747147
bwd_pkts_tot,-0.000531377360618257,0.0035512938195122134,0.10541396521015928,0.37573674977152033
bwd_PSH_flag_count,0.0010485255428634987,0.003232444403660398,0.2080051641055531,0.34200159597476565
fwd_iat.avg,0.002897237336689784,0.0028467830555735695,0.5747502593261556,0.3011975541783728
bwd_bulk_bytes,0.0,0.0027713318334695787,0.0,0.2932146053150944
fwd_header_size_max,0.0008637884598271528,0.00274888185662225,0.17135725644617925,0.29083933541016166
fwd_init_window_size,-0.0016003527155901143,0.0022712222382180514,0.3174759370420269,0.24030162109032824
bwd_iat.avg,0.0050937513056944494,0.0021122608816939166,1.010491907865503,0.22348306805721024
bwd_pkts_payload.max,0.002128944859069115,0.0020598973750324706,0.4223373744172053,0.21794286361354823
bwd_data_pkts_tot,-0.000531377360618257,0.001973665242992906,0.10541396521015928,0.20881926453526498
bwd_iat.max,0.0023486000912840144,0.001936038959943451,0.465912300115941,0.20483829928217667
idle.avg,0.0032242113130031003,0.0017678544752653528,0.6396149410348689,0.1870439136732645
flow_ACK_flag_count,0.0,0.001533876074168759,0.0,0.16228834896562602
flow_iat.avg,0.0027693563999314774,0.0011449979344290474,0.5493814016789307,0.12114396167776595
fwd_pkts_tot,0.0004755368987969799,0.0011292215015724144,0.09433640538920914,0.11947477126272049
bwd_iat.std,0.0023124558008816853,0.0011182388727199852,0.4587420417395135,0.11831277862604098
fwd_iat.std,0.002354862082998177,0.0008547600251054356,0.4671545460707461,0.09043598473974
bwd_bulk_rate,0.0006369947724108593,0.0007439189455385002,0.1263662130803707,0.07870869066206575
payload_bytes_per_second,0.002325153229759902,0.0006695604593727259,0.46126094153695585,0.07084135629610888
fwd_bulk_bytes,0.0009649173826747903,0.0005972946874011646,0.1914190835861206,0.06319543690438313
idle.min,0.002791635382594526,0.0005951761538439766,0.5538010779342907,0.06297129016983638
active.std,0.0005537111338872469,0.0004450888556376906,0.10984451075626545,0.047091637154315205
flow_duration,-0.00014309041495430552,0.0004296079307628277,0.028386094594527914,0.045453712304510174
fwd_pkts_payload.tot,0.0,0.00017192272654884997,0.0,0.018189901981750287
flow_iat.tot,0.0,0.00016888511345128837,0.0,0.017868514079101904
idle.tot,0.00018450991264595817,0.0001375488539892567,0.03660284188615148,0.014553050792012339
fwd_iat.tot,0.0,0.00012063233862458958,0.0,0.012763236481054237
bwd_last_window_size,0.003858533286883681,0.00010462493494747486,0.7654509277409794,0.011069608711683722
bwd_iat.tot,0.0008038902069565923,7.095720575392017e-05,0.15947471719591813,0.00750746945137562
fwd_last_window_size,0.002283089142881667,1.495350077285045e-05,0.452916321462024,0.0015821219148993094
fwd_bulk_rate,0.002858916924165067,9.166632045629078e-07,0.5671483046097946,9.698551306152456e-05
bwd_iat.min,0.0004106411122286602,3.5718537218300294e-08,0.08146246175781435,3.779120445415761e-06
idle.std,0.0005771572367013755,0.0,0.11449571882332862,0.0
bwd_pkts_payload.min,0.0033055453866226436,0.0,0.6557498911519675,0.0
